name,fav_food,hometown,rand_num,rand_int
alastair,fried green tomatoes (at the Whistle Stop Cafe),Cenabum,0.891204898,72
kaylin,salmon,São José da Barra do Rio Negro,0.242622422,79
roxana,apple pie,Yerba Buena,0.239153098,17
shuva,durian,New Amsterdam,0.288237742,9
susan,cookies,Traiectum,0.497992056,94
sara jaye,ice cream,Hanseong,0.166881415,69
abby,noodles,Barcino,0.905244453,92
abigail,chocolate,Leopoldstad,0.09016543,9
jay,mouldy peaches,Rangoon,0.69536916,53
vanessa,pho,Dunedin,0.523422529,18
mariko,donuts,Londinium,0.544812019,67
eli,cake,Tenochtitlán,0.203692351,6
joie,popcorn,Neppel,0.806851976,28
kris,stale bread,Madras,0.600418299,70
nicole,cherries,Lutetia,0.249823654,66
myduc,pavlova,Bombay,0.729114856,92
mike,pizza,Eboracum,0.680738079,30
amy,curry,Anfa,0.147049116,53
marc,pasta,Portus Cale,0.14450663,10
